Name,Production,Notes,Attachments,Attachment Summary,Products
Almonds,,,,,Amlou
Anchovies,,,,,Marinated Anchovies
Argan oil,Organic,,,,Amlou
Argan/Olive/Sesame oil,,,,,Peanut Butter
Bay leaf,,,,,"Seasonal Fermented Vegetables,Marinated Eggplants,Marinated Olives,Tomato Sauce,Bolognese Sauce"
Beets,,,,,Seasonal Fermented Vegetables
Black Tea,,,,,Kombucha
Brown cane sugar,,,,,"Jams,Pomegranate Concentrate"
Butter,,,,,"Smen,Béchamel Sauce"
Cabbage,,,,,Seasonal Fermented Vegetables
Carrots,,,,,Seasonal Fermented Vegetables
Chili pepper,,,,,Marinated Olives
Coriander seeds,,,,,Seasonal Fermented Vegetables
Cumin,,,,,Spread Cheese
Eggplants,,,,,Marinated Eggplants
Eggs,,,,,Mayonnaise
Figs,,,,,Water Kefir
Flour,,,,,Béchamel Sauce
Fresh coriander,,,,,Marinated Eggplants
Fresh herbs,,,,,"Marinated Sardines,Marinated Anchovies,Marinated Octopus,Marinated Tuna"
Fresh olives,,,,,Marinated Olives
Fresh parsley,,,,,"Marinated Eggplants,Whiting Kefta in Tomato Sauce,Sardine Kefta in Tomato Sauce"
Fresh turmeric,,,,,Seasonal Fermented Vegetables
Garlic,,,,,"Spread Cheese,Seasonal Fermented Vegetables,Marinated Eggplants,Marinated Olives,Whiting Kefta in Tomato Sauce,Sardine Kefta in Tomato Sauce,Marinated Sardines,Marinated Anchovies,Marinated Octopus,Marinated Tuna,Tomato Sauce,Bolognese Sauce,Sun-Dried Tomatoes"
Ginger,,,,,"Ginger Beer,Seasonal Fermented Vegetables"
Ground beef,,,,,Bolognese Sauce
Honey,,,,,"Seasonal Fermented Vegetables,Amlou,Peanut Butter,Pumpkin Seed Butter,Pistachio Butter"
Kefir SCOBY,,,,,"Water Kefir,Milk Kefir"
Lemon,,,,,"Water Kefir,Ginger Beer,Marinated Olives,Whiting Kefta in Tomato Sauce,Sardine Kefta in Tomato Sauce,Marinated Sardines,Marinated Anchovies,Marinated Octopus,Marinated Tuna"
Milk,,,,,Béchamel Sauce
Milk kefir,,,,,Leben
Mustard,,,,,Mayonnaise
Mustard seeds,,,,,"Seasonal Fermented Vegetables,Wholegrain Mustard"
Octopus,,,,,Marinated Octopus
Olive oil,,,,,"Marinated Eggplants,Marinated Olives,Marinated Sardines,Marinated Anchovies,Marinated Octopus,Marinated Tuna,Tomato Sauce,Bolognese Sauce,Sun-Dried Tomatoes,Mayonnaise"
Olive/Argan oil,,,,,"Pumpkin Seed Butter,Pistachio Butter"
Olives,,,,,Spread Cheese
Onion,,,,,"Seasonal Fermented Vegetables,Tomato Sauce,Bolognese Sauce"
Oregano,,,,,Spread Cheese
Parsley,,,,,"Tomato Sauce,Bolognese Sauce"
Peanuts,,,,,Peanut Butter
Pepper,,,,,"Seasonal Fermented Vegetables,Béchamel Sauce"
Pistachios,,,,,Pistachio Butter
Pomegranate,,,,,Pomegranate Concentrate
Pumpkin seeds,,,,,Pumpkin Seed Butter
Raw milk,,,,,"Milk Kefir,Leben,Spread Cheese,Hard Cheese,Jben"
Salt,,,,,"Hard Cheese,Smen,Jben,Seasonal Fermented Vegetables,Marinated Eggplants,Marinated Olives,Tomato Sauce,Béchamel Sauce,Bolognese Sauce,Wholegrain Mustard,Mayonnaise"
Sardines,,,,,"Sardine Kefta in Tomato Sauce,Marinated Sardines"
Seasonal fruits,,,,,"Kombucha,Jams"
Seasonal fruits and herbs,,,,,Water Kefir
Spices,,,,,"Marinated Eggplants,Whiting Kefta in Tomato Sauce,Sardine Kefta in Tomato Sauce,Marinated Sardines,Marinated Anchovies,Marinated Octopus,Marinated Tuna,Tomato Sauce,Béchamel Sauce,Bolognese Sauce,Sun-Dried Tomatoes"
Sugar,,,,,"Kombucha,Water Kefir,Ginger Beer"
Tomato sauce,,,,,"Whiting Kefta in Tomato Sauce,Sardine Kefta in Tomato Sauce"
Tomatoes,,,,,"Tomato Sauce,Bolognese Sauce,Sun-Dried Tomatoes"
Tuna,,,,,Marinated Tuna
Vinegar,,,,,Sun-Dried Tomatoes
Water,,,,,"Kombucha,Water Kefir,Ginger Beer,Seasonal Fermented Vegetables,Marinated Eggplants,Marinated Olives,Wholegrain Mustard,Sun-Dried Tomatoes"
Whiting,,,,,Whiting Kefta in Tomato Sauce