Product Name,Category,Ingredients,Short Description (AI),Macronutrient Breakdown (AI),Proteins,Fats,Carbs,Nutritional Sheet (AI),Storage,Shelf Life (days),Storage & Handling Advice,Producer,Description,Unit of Sale,Price,Production Method,Main Photo,Price per Day of Shelf Life,Producer Type
Smen,Cheeses & Dairy,"Butter,Salt","Traditional Moroccan smen—aged, salted butter with a rich, tangy flavor—perfect for enhancing couscous, tagines, and authentic North African dishes.","Proteins 1%  
Lipids 99%  
Carbs 0%",1,99,0,"Energy: 720 kcal, Protein: 0.5 g, Carbohydrates: 1 g, Fat: 80 g, Fiber: 0 g, Sodium: 1500 mg",Refrigerated,365,Store butter tightly wrapped in its original packaging or an airtight container in the coldest part of the refrigerator and use within 12 months; ensure minimal exposure to air and strong odors to preserve flavor and prevent spoilage.,,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/NNd_z_ybagp3t4BGcpy_IQ/c-8zZvDgkQp_-U89CqqQHyCMuVhnuBGdeaah5C0u-znM3cL4vjLnvJzQLvwMpmm37FSIjZaw-PD3-Z_BCrS8ZCY6S79m_P90zyObBmwFaTe3F3ORgQVfSJybX_0qfMTqD2kcBfcMXK10R742GekkRg/M-n91Gwatq2cRLq0jBol8ZXZbClaEEyS_BWrNCBLT68),0,
Marinated Olives,Fermented Vegetables,"Fresh olives,Salt,Water,Lemon,Garlic,Bay leaf,Chili pepper,Olive oil","Zesty marinated olives infused with lemon, garlic, bay leaf, and chili pepper—an irresistible Mediterranean snack or appetizer bursting with bold, savory flavor.","Proteins 2%  
Lipids 85%  
Carbs 13%",2,85,13,"Energy: 210 kcal, Protein: 1.2 g, Carbohydrates: 6 g, Fat: 21 g, Fiber: 3 g, Sodium: 1200 mg",Room Temp,180,"Store in a cool, dry place away from direct sunlight, ensuring the container is tightly sealed to maintain quality and prevent spoilage throughout the 180-day shelf life. For fermented olives, avoid temperature fluctuations and use clean utensils to prevent contamination.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/NkB7-HKKBIpxGMQ-xujXWg/jcI99rjC-BFLl2aUdBN_Cqp3y1Qecp_w9XVB6HwtN0BM489Xfd1Gc5PDlI7w0f_mEQvZlUAAev1JRCDkbgriki4Qw2-pUH3zT_jvV1zh0msZCHjWq6zI4qvY-fDcZ_fXE36gZMhpHA7DYogb-ZvvZw/UnuPutyKV-EvF6qhTFTH00x91k7RvWucHIIGBz3ounI),0,
Mayonnaise,Sauces & Condiments,"Eggs,Olive oil,Mustard,Salt","Creamy mayonnaise made with rich eggs, premium olive oil, and zesty mustard—perfect for elevating sandwiches, salads, and dips with gourmet flavor.","Proteins 1%  
Lipids 80%  
Carbs 19%",1,80,19,"Energy: 700 kcal, Protein: 2 g, Carbohydrates: 1 g, Fat: 76 g, Fiber: 0 g, Vitamin E: 15 mg",Refrigerated,90,"Store refrigerated at or below 4°C and keep tightly sealed; consume within 90 days to maintain quality and prevent spoilage, as this egg-based sauce is susceptible to bacterial growth if temperature control is compromised.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/vLhVOqms9lk058gKKZISaA/DeQoJNdzaYZ06j-Ps6qpia4Xa_4ACrRyjPxapEnQQMxyTbdLmtdSSvyf69stbwUlYuP3xeIK5ksz6s_MAaKCjPixHhSN8SIJqu6ia6wAUXavkI_PMZ_D3t0c7nAyVTQjiKPi2r9RRooqbAy_xQUZGA/57aLhpwZlB63ASJxCG3mt-RI79zVMYt6WgiXIABjGrQ),0,
Pistachio Butter,Spreads & Nut Butters,"Pistachios,Olive/Argan oil,Honey","Creamy pistachio butter blended with olive or argan oil and a touch of honey for a naturally sweet, nutrient-rich spread.","Proteins 20%  
Lipids 70%  
Carbs 10%",20,70,10,"Energy: 600 kcal, Protein: 18 g, Carbohydrates: 20 g, Fat: 52 g, Fiber: 8 g, Vitamin E: 6 mg",Room Temp,180,"Store in a cool, dry place away from direct sunlight and tightly seal after each use to preserve freshness and prevent oil rancidity over the 180-day shelf life.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/-9JutoARCrSYbK_9237DMg/T6O9s852E1VM9tbU90qUwRU5_hyzNvz5-qq0gKIJa8TkIo6syDIo8WW44bsUxbwHANQk-2PeK6MUw_X6_244QlkwIVSUI25Pq8WPSCaoWZlPdgX1MNlLGl-Yx226zdcN-6m0QsJojfGihhPntHMJcA/j0FSk7PTk-v6HRaeD6FeWUJ1XK4DbQ5FbA4PyT8fmNQ),0,
Amlou,Spreads & Nut Butters,"Almonds,Argan oil,Honey","Rich and creamy Amlou blends roasted almonds, pure argan oil, and honey for a naturally sweet, nutritious spread perfect for breakfast or snacking.","Proteins 10%  
Lipids 60%  
Carbs 30%",10,60,30,"Energy: 570 kcal, Protein: 13 g, Carbohydrates: 25 g, Fat: 45 g, Fiber: 7 g, Vitamin E: 20 mg",Room Temp,180,"Store in a cool, dry place away from direct sunlight and tightly seal after each use to preserve freshness and prevent oil separation over the 180-day shelf life.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/I5pEs6oPV9rqMUNLj-jVaQ/SEJQmS9d9VciiUXLHnTshIrNYoPK1ekLzLO41PideyKPgSaiNjgtT01gqtT1BNBuIz4-vEV4MCWzezrLa6NyZ_fVdGDNuiCkDOnrvMDnveZIYJapZnrofhVp-3P6U8Anfh0iFhUJDqGv-cirP6WnXQ/9Fd-_sDP0OzjQHFDvpnz2SyVUyF50-W_1R_GW1lURbI),0,
Pumpkin Seed Butter,Spreads & Nut Butters,"Pumpkin seeds,Olive/Argan oil,Honey","Creamy pumpkin seed butter blended with olive and argan oils, lightly sweetened with honey for a nutritious, nutty spread packed with natural goodness.","Proteins 25%  
Lipids 55%  
Carbs 20%",25,55,20,"Energy: 600 kcal, Protein: 25 g, Carbohydrates: 15 g, Fat: 50 g, Fiber: 6 g, Magnesium: 400 mg",Room Temp,180,"Store in a cool, dry place away from direct sunlight and tightly seal after each use to preserve freshness and prevent oil rancidity; consume within 180 days.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/Ttm6nP9EdQYd0Aui5gKHAQ/FiEAiC3jIwMcUwAIZ3ig0E9M83hsghEF5S97GghyN7wWtAcNGF0PucHxI-PDM0WeWSWGIvw3saL2Cp_AM_h801GiP4lupZNcOBp5paLm8OsUxXvGjGHsgsbw0olnK4RIgSVLAd7qrpIrJiC1ElFKpw/ofoZ4T-JFVdZFL0RNvXsNPf6KrLTD-BW0Z-RD_PAnyk),0,
Spread Cheese,Cheeses & Dairy,"Raw milk,Garlic,Olives,Cumin,Oregano","Creamy spreadable cheese made from raw milk, blended with garlic, olives, cumin, and oregano for a bold, Mediterranean-inspired flavor perfect for any occasion.","Proteins 15%  
Lipids 55%  
Carbs 30%",15,55,30,"Energy: 320 kcal, Protein: 13 g, Carbohydrates: 4 g, Fat: 28 g, Fiber: 1 g, Calcium: 500 mg",Refrigerated,14,"Store refrigerated at or below 4°C and consume within 14 days; keep the cheese tightly sealed to prevent absorption of odors and maintain freshness, especially due to the use of raw milk and aromatic ingredients.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/i7vyyUI2BeRJiWgR2Bcl9Q/kldPZOIAYYcbia93uHSERm0YAYXU-qiEf6jFqpa8yTT5vWd3c5HjL_s6MwiAklSJiN6udxbZzrZlspgViUc1ak7Y1ox8-6WpMzrWH0YxSFCSA14oF-C_QpHSAQyireVHgjYyfI67HAae9xDt5PtzhQ/t4dS3IgioGNl6BidAsnFBGNVWr9UTxVIKBRABdUhJso),0,
Peanut Butter,Spreads & Nut Butters,"Peanuts,Argan/Olive/Sesame oil,Honey","Creamy peanut butter blended with your choice of argan, olive, or sesame oil and sweetened with honey for a rich, naturally delicious spread.","Proteins 25%
Lipids 50%
Carbs 25%",25,50,25,"Energy: 600 kcal, Protein: 22 g, Carbohydrates: 18 g, Fat: 50 g, Fiber: 6 g, Vitamin E: 7 mg",Room Temp,180,"Store in a cool, dry place away from direct sunlight and tightly seal after each use to prevent oil separation and preserve freshness for up to 180 days. Stir well before use if natural oil separation occurs.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/-RVXft8gMuntYR2jNyhURw/gtcuxmASMA8kT6aqLAj2pHFj6J4Z86apz4koVfiP9r9bpDV_goWdDA5xlg5DQpV_ynvUAVjYBqWbQ0oatsnkefWy_iRo2_u-DdxOScUtrl3cNdW_S7x402BmCwBU8T7BluJGsCNAEcTL3LzceyYeHw/_OfKQJOn9CLNFM-h05PYLIKtDX-cj5BFDlMvGTL3i-o),0,
Marinated Sardines,Fish & Seafood,"Sardines,Garlic,Fresh herbs,Lemon,Spices,Olive oil","Tender sardines marinated with garlic, fresh herbs, lemon, and spices in olive oil—bursting with Mediterranean flavor for a delicious, ready-to-enjoy treat.","Proteins 45%  
Lipids 50%  
Carbs 5%",45,50,5,"Energy: 210 kcal, Protein: 22 g, Carbohydrates: 0 g, Fat: 14 g, Fiber: 0 g, Calcium: 250 mg",Refrigerated,14,"Store refrigerated at or below 4°C and consume within 14 days; keep the container tightly sealed to prevent odor transfer and maintain freshness, especially for fish-based products with fresh herbs and olive oil.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/XuAUi2sRRLc8xLhkxo_VBA/3xGZz-X3ihBS5AgdKpHWtxmk2uyGOJU5kaqAMjzXXthq8yglUbO0UFac0L46w53LC_98uu9gZHjW3ccMzthyU04i-ud2ua32OGM2kgUVFQKG_45cwKyHBSw55WgHTvxh3IsucIFQsik9tmj-U_G7jA/ntW-oT8lDrio5YcxPkUoJGQxuE5ltsSRM988gOCa7WI),0,
Béchamel Sauce,Sauces & Condiments,"Milk,Butter,Flour,Salt,Pepper,Spices","Creamy béchamel sauce made with fresh milk, butter, and spices—ideal for elevating pasta, lasagna, or vegetables with classic French flavor.","Proteins 10%  
Lipids 35%  
Carbs 55%",10,35,55,"Energy: 120 kcal, Protein: 3 g, Carbohydrates: 8 g, Fat: 8 g, Calcium: 110 mg",Room Temp,1,"Store in a cool, dry place and use within 1 day; keep covered to prevent contamination and spoilage, as dairy-based sauces are highly perishable at room temperature.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/ww6RmnpCoGhaa6hBtJ8i_w/v06Z0XMWZkQIU1EXACxubZ0fLo4eu29zNyO-5zqdEPFNMcyceGtv_OZ0nNTURUgfH98FFs6PKPosSOI5Um1DOoF_eLHKe_frdAuJSDLUfgLD2OxeC46ec0cHEk76eC2W_OER6W-e1DeDIYFqMF0AFQ/qN9G1K5MB9lQuG_bnHcdtYNmsXuL_YJxGOT1_aA7wKc),0,
Hard Cheese,Cheeses & Dairy,"Raw milk,Salt","Rich, flavorful hard cheese made from pure raw milk and salt—ideal for gourmet snacking, cheese boards, or enhancing your favorite recipes.","Proteins 25%  
Lipids 33%  
Carbs 2%",25,33,2,"Energy: 400 kcal, Protein: 25 g, Carbohydrates: 2 g, Fat: 33 g, Calcium: 800 mg",Refrigerated,180,"Store refrigerated at or below 4°C and keep the cheese tightly wrapped to prevent moisture loss and contamination; consume within 180 days, ensuring raw milk cheeses are handled with clean utensils to maintain safety and quality.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/TGsBDrwqVACRZPQQiH9RAA/MecU6svw-Z72kzzidObQcobZWt9-Tg2Iep-NAZPCMSmncMOvRYcE58gTrWReYtrpR1H-dcGWaJbzrpkxsckW2XPwo91OY9bsm7W6Z1eMJemkErwT2RUDA4d08btHBFbauLXhNbU0H9y3nF5cOk1sow/I79xhEQQNffP7B3qh7eJIZFYilL1IFj3dMDCPZoX6u4),0,
Marinated Tuna,Fish & Seafood,"Tuna,Garlic,Fresh herbs,Lemon,Spices,Olive oil","Tender tuna marinated with garlic, fresh herbs, lemon, and spices in olive oil—bursting with Mediterranean flavor for a delicious, ready-to-enjoy meal or snack.","Proteins 60%  
Lipids 30%  
Carbs 10%",60,30,10,"Energy: 180 kcal, Protein: 23 g, Carbohydrates: 1 g, Fat: 9 g, Fiber: 0.5 g, Iron: 1.2 mg",Refrigerated,14,Store refrigerated at or below 4°C and consume within 14 days; keep the container tightly sealed to prevent odor transfer and maintain the quality of the tuna and fresh herbs.,,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/utT3XDreaaJqFqXVtLjHWQ/tFthk_iwd247gvFqlfwzWJARDZatliBOOsmIxGe7gZbBs2hySooVa-I9VdaXnWEwHL71Evx9rOZw6vppWumKiGSvFzcPpKKuNCDcCyxpOURXurN9s1EUImvam9W4XDlgT1fFFM_jiSUOQ_rqay467g/zXS4q9-GfOtHR7uO4k79KiSLeyMTpGTl7x2P97mqow4),0,
Leben,Fermented Beverages,"Raw milk,Milk kefir","Creamy Leben made from raw milk and live kefir cultures—rich in probiotics for a tangy, wholesome boost to your daily nutrition.","Proteins 30%
Lipids 30%
Carbs 40%",30,30,40,"Energy: 65 kcal, Protein: 3.3 g, Carbohydrates: 4.7 g, Fat: 3.6 g, Calcium: 120 mg, Beneficial bacteria: ~1x10^8 CFU",Refrigerated,14,Store refrigerated at or below 4°C and consume within 14 days; keep the container tightly sealed to preserve the quality and probiotic content of the raw milk kefir.,,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/H_T17y_CDGUd73A2rVOH0Q/ULJmNpTSA0egVTsV1TKxZgMluJgfdrfGhFeAF_-fvKpgTum2K5CYDMUE07zUMd5we1Yfd2vI-skaAtnSqecjTnHeEVs_1qByks_79hqF9PBm_J0LPsbCArQch7BsBw-I8TZDJ2A3we2p_y4RZ0xGQg/5K7wnTxULTYoQ38cBXXMHeSgOz2ntVap4Ih_YpRZwYA),0,
Sardine Kefta in Tomato Sauce,Fish & Seafood,"Sardines,Garlic,Fresh parsley,Spices,Lemon,Tomato sauce","Tender sardine kefta blended with garlic, fresh parsley, and spices in zesty tomato sauce—an authentic, flavorful twist on classic Mediterranean cuisine.","Proteins 35%  
Lipids 30%  
Carbs 35%",35,30,35,"Energy: 160 kcal, Protein: 15 g, Carbohydrates: 4 g, Fat: 9 g, Fiber: 1 g, Calcium: 250 mg",Refrigerated,7,Store refrigerated at or below 4°C and consume within 7 days; keep the container tightly sealed to prevent odor transfer and maintain freshness of the sardines and accompanying ingredients.,,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/qCANRX-DuxWRRdayW_Pkww/GNCor7qxiyn9ZHDs0SkRydzUeH3T67NMtvoNdFMjUjB4_0zlgU5TnB9i3z7lXTWnWFuoByfh8cIbZ6xwnZDGP_i3zyMe8WqGRV3JHRY4JCd8USOmux4DWT2jyBLy3eNQ-b647Bj751Uq_bUQx448yA/R8yGH-aAFCQE5qbzM1mm99K0XBSRpM2LBtzEN-8YveY),0,
