Product Name,Category,Ingredients,Short Description (AI),Macronutrient Breakdown (AI),Proteins,Fats,Carbs,Nutritional Sheet (AI),Storage,Shelf Life (days),Storage & Handling Advice,Producer,Description,Unit of Sale,Price,Production Method,Main Photo,Price per Day of Shelf Life,Producer Type
Bolognese Sauce,Sauces & Condiments,"Tomatoes,Ground beef,Garlic,Onion,Parsley,Bay leaf,Salt,Spices,Olive oil","Rich, savory Bolognese sauce made with ripe tomatoes, ground beef, and aromatic herbs—perfect for elevating your favorite pasta dishes.","Proteins 15%  
Lipids 25%  
Carbs 60%",15,25,60,"Energy: 110 kcal, Protein: 5 g, Carbohydrates: 7 g, Fat: 6 g, Fiber: 2 g, Iron: 1.2 mg",Room Temp,1,"Store in a cool, dry place and consume within 24 hours; keep covered to prevent contamination and discard any leftovers after one day to ensure safety.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/GDeDsHiUW-fZBaoqWPKoPQ/azcS96vaUcFIp9SZL_ia1f_wavOK4I0huX0DuQjJBF0lpQXVruQGAq1M0h-SGUK5W0OdYwrB4CQzfE32jPC3DQBEuj-Ndbd22c4HP6GkN8r3tCIMMxv6Z4iDn9B7YjJP8TqLEMCWUwrYJpM955F_bw/Tpf5F13EValjVw-TvN9NWhb8LxFUxuWP5irwnByL9Fg),0,
Jben,Cheeses & Dairy,"Raw milk,Salt","Creamy Moroccan Jben cheese made from pure raw milk and a touch of salt—delightfully mild, perfect for spreading, snacking, or adding to your favorite dishes.","Proteins 25%  
Lipids 25%  
Carbs 50%",25,25,50,"Energy: 220 kcal, Protein: 14 g, Carbohydrates: 3 g, Fat: 16 g, Calcium: 400 mg",Refrigerated,7,"Store refrigerated at or below 4°C and consume within 7 days; keep cheese tightly wrapped to prevent moisture loss and cross-contamination, especially since it is made from raw milk.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/uzuu1OJu7DKtR94pR3mGkA/cGb4UXn18UFo9cIucBNPcFmcIrROk-7j6D6JiIGPj3qYLnrzccVrF_9Tj1iLihuGLDkGSGzwRuxYLXRucX8dMkw_rdj99o7G_nzAt1v4o2NxYNZuZJfKCPjKajYNjWixrXYBoXc-TitRtiV2XVL0fw/ME3f1fUy5U6KdS_pG0QZO707HSapZF4XoOyemVHd4-k),0,
Milk Kefir,Fermented Beverages,"Kefir SCOBY,Raw milk","Creamy, probiotic-rich milk kefir made from raw milk and live cultures—supporting gut health with a tangy, refreshing taste.","Proteins 20%  
Lipids 25%  
Carbs 55%",20,25,55,"Energy: 65 kcal, Protein: 3.3 g, Carbohydrates: 4.5 g, Fat: 3.6 g, Calcium: 120 mg, Probiotic bacteria: ~1x10^9 CFU",Refrigerated,14,Store refrigerated at or below 4°C and consume within 14 days; keep the container tightly sealed to preserve the quality of the raw milk kefir and prevent contamination.,,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/4y9CY_Nh5yn2IbxTd--61g/Qun48zutp0YfIoH3NzJrfBLA8KArgEzWI4J6JpjUbObc1IeqEMfDw6HbFVEzFCo2ech1rZGXdK63ctcV4kV1PvblbKSwB7olnZyR3IbbJzUHTXkdKbSN2nLR5xLV4j7bm0ptKb2ChmOVumVs1V0c4w/1gZEIt25zqQTb_kYRRAh0KGU2vCDx3vhtRjRYl_iDNs),0,
Marinated Anchovies,Fish & Seafood,"Anchovies,Garlic,Fresh herbs,Lemon,Spices,Olive oil","Tender anchovies marinated with garlic, fresh herbs, lemon, and spices in olive oil for a zesty, Mediterranean-inspired flavor perfect for appetizers or salads.","Proteins 25%  
Lipids 20%  
Carbs 55%",25,20,55,"Energy: 210 kcal, Protein: 18 g, Carbohydrates: 1 g, Fat: 15 g, Fiber: 0 g, Sodium: 1500 mg",Refrigerated,14,"Store refrigerated at or below 4°C and consume within 14 days; keep the container tightly sealed to prevent odor transfer and maintain freshness, especially for fish-based products with fresh herbs and olive oil.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/MXeby92IAk1oMGuZg2SJRw/DCNDT-hLL1LE0yp__1yKrNyTejrMhqG5kItEsov-UtuJhaYs09tBxKDmqiGz6ze3cm3JeEB-EGiLGtIsBS8HJi27iHB8Fj6m6sJCnKOem0PtOPjYC7esTZX9GjGBlcHGXPG8UgJh8DILUU_NPwEoiA/wQLnjCpnK5tt0-x2p4q1QDQCg2V_G8OSYzuWHOMC7XA),0,
Whiting Kefta in Tomato Sauce,Fish & Seafood,"Whiting,Garlic,Fresh parsley,Spices,Lemon,Tomato sauce","Tender whiting blended with garlic, parsley, and spices, simmered in zesty tomato sauce for a flavorful, Mediterranean-inspired meal.","Proteins 30%  
Lipids 20%  
Carbs 50%",30,20,50,"Energy: 110 kcal, Protein: 13 g, Carbohydrates: 5 g, Fat: 4 g, Fiber: 1 g, Vitamin C: 10 mg",Refrigerated,7,Store refrigerated at or below 4°C and consume within 7 days; keep the container tightly sealed to prevent odor transfer and maintain the freshness of the fish and herbs.,,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/nECLAHVijrNUqLpw7DdrKQ/K243hp1NkiQ-ORIOwkDbakJnjN7Z_nMIsJLglwCMpRXlzmGYOtdXErOrWC6pwJBtJYPdBlrHI3VfWi7W6pMrgwlqlOUxVU0J7BDJUJqvrf-rgBkCjAcbyPZ1KqeSW_mli1hJRQUC0c0bZjPm-aDyXA/OYreTJO-m9f-SboZGRi_rp5A981UpgATyMgh8MGa98U),0,
Marinated Octopus,Fish & Seafood,"Octopus,Garlic,Fresh herbs,Lemon,Spices,Olive oil","Tender octopus marinated with garlic, fresh herbs, lemon, and spices in olive oil—bursting with Mediterranean flavor for a gourmet appetizer or salad.","Proteins 25%  
Lipids 10%  
Carbs 65%",25,10,65,"Energy: 120 kcal, Protein: 16 g, Carbohydrates: 2 g, Fat: 5 g, Fiber: 0.5 g, Iron: 4 mg",Refrigerated,14,Store refrigerated at or below 4°C and consume within 14 days; keep the octopus dish tightly sealed to prevent odor transfer and maintain freshness. Ensure the container is non-reactive to preserve the quality of the olive oil and herbs.,,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/Sy53EuZMPNyWXId7cNnNEQ/9yydHDQDKQdpmRtHBbuN4qD75aUU4TQ9m16V9qNXe87-xuU6HXOpi7OGm2G84VAlJxxnxDwMjegRDe8A101vRN2yZoD-BV29whVlNW0xMP3Wm67e9HIKKTG17zyjp2TFxe4otG4Z4BZwKykHf069gg/dSClNQvrc5QHQH_xZMriKFcplpiQrtmbFCMKN4zyLaA),0,
Marinated Eggplants,Fermented Vegetables,"Eggplants,Salt,Garlic,Fresh parsley,Fresh coriander,Spices,Bay leaf,Water,Olive oil","Tender eggplants marinated with garlic, fresh herbs, and aromatic spices in olive oil for a savory, Mediterranean-inspired appetizer or side dish.","Proteins 3%  
Lipids 10%  
Carbs 87%",3,10,87,"Energy: 110 kcal, Protein: 1.2 g, Carbohydrates: 5 g, Fat: 8 g, Fiber: 3 g, Potassium: 200 mg",Room Temp,90,"Store in a cool, dry place away from direct sunlight and ensure the container is tightly sealed; for fermented vegetables, monitor for signs of spoilage and consume within 90 days for optimal safety and quality.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/JJ3doreCdMIl-p-AhOqwbQ/EC3CdlyXaiJMry7Y90dgir5FCG9F75gZI6TefLIcDrn7c4Q7Ull_KvGZFZm2ODR8K6yPpilH1g29iDcXOVsiiEl_su95Nah4Lqw6glz3RUXQVYBR8p1IUCaxQ_O6UjG8kScf_g3fvOMGsxT0n_VhsA/9qML3Fe0QBukpVKr6kM_WAVvMbQZUgRnmcMK3swe5P4),0,
Wholegrain Mustard,Sauces & Condiments,"Mustard seeds,Water,Salt","Robust wholegrain mustard made with simple, natural ingredients—perfect for adding bold, tangy flavor and texture to sandwiches, dressings, and marinades.","Proteins 7%  
Lipids 8%  
Carbs 85%",7,8,85,"Energy: 120 kcal, Protein: 6 g, Carbohydrates: 8 g, Fat: 7 g, Fiber: 5 g, Iron: 1.5 mg",Room Temp,365,"Store tightly sealed in a cool, dry place away from direct sunlight, and ensure the container is closed after each use to maintain quality throughout the year.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/d1XigKgwq_pgIIS6WOPPJQ/HrYZcUYCLU3puRa6zZc2l8k8MJ4zQ1rZF6MmcUqdn093IZaD2Xb872E6Igbu6_Ioanotlb_rfQ6jyp9jFCjb0o6DS8X9QD9vBIYCIBJdLsmwemWmisof9cQRPcpcUyTnwwsH6QHjmx7PoKk10OXoyw/GOwd1toNcVwJcQhaCFM8pV5D02y5qs5K1zhrbNxKKuA),0,
Sun-Dried Tomatoes,Jams & Fruit Products,"Tomatoes,Water,Vinegar,Olive oil,Garlic,Spices","Rich, tangy sun-dried tomatoes marinated in olive oil, garlic, and spices—ideal for adding bold Mediterranean flavor to salads, pastas, and appetizers.","Proteins 14%  
Lipids 7%  
Carbs 79%",14,7,79,"Energy: 180 kcal, Protein: 4 g, Carbohydrates: 30 g, Fat: 6 g, Fiber: 7 g, Potassium: 1100 mg",Room Temp,180,"Store in a cool, dry place away from direct sunlight and heat sources; ensure the container is tightly sealed to maintain quality and prevent spoilage throughout the 180-day shelf life.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/o24DjGL0gQ19Y9WZvTc_tw/j-dvo8E9Vu9tLCOtpGeK_gjOCiHo7wIQyuzn_2iof-b91MpTu4XS9quhtDcb6BTSPvWmxqNWAzofWF0O4m864IqjJJlohrocAik0OUTXWlIJCiqVY6Zk47e8ip_DdpM76xPzUuYtH6MTHfRYXGGF3w/ZcEkjIEuYU6_3vlEH5PqxVeZpZigsMHzyxdNqIHTMm8),0,
Tomato Sauce,Sauces & Condiments,"Tomatoes,Garlic,Onion,Parsley,Bay leaf,Salt,Spices,Olive oil","Rich, savory tomato sauce made with ripe tomatoes, aromatic garlic, herbs, and olive oil—ideal for elevating pasta, pizza, or your favorite recipes.","Proteins 5%  
Lipids 5%  
Carbs 90%",5,5,90,"Energy: 60 kcal, Protein: 1.5 g, Carbohydrates: 7 g, Fat: 2.5 g, Fiber: 1.5 g, Vitamin C: 12 mg",Room Temp,365,"Store in a cool, dry place away from direct sunlight and ensure the container is tightly sealed; use a clean utensil each time to prevent contamination and maintain quality throughout the year.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/uqHm87_olC5odUjOw0awJw/LpmYPZvS3TVNn4o4zQacAkCQki08LVZbf_Z6ZUxbwx2VvX9tTlvFb5JXjjVImvb7BeNielpxEvEauB36BLxOxvWhx_FwJ8RLIyhDXiJn6yxJD5AHypeUhd23HIzKf7Sz8J12yr4AvcrLKCsGbVkykw/aOKHYT7G0YTWHE713qk4kCe-DnMoiKKnIC1nQuv-11w),0,
Seasonal Fermented Vegetables,Fermented Vegetables,"Cabbage,Carrots,Beets,Water,Garlic,Ginger,Onion,Fresh turmeric,Salt,Pepper,Bay leaf,Honey,Coriander seeds,Mustard seeds","A vibrant mix of fermented cabbage, carrots, and beets with aromatic spices—rich in probiotics for a tangy, gut-healthy boost to any meal.","Proteins 5%  
Lipids 2%  
Carbs 93%",5,2,93,"Energy: 40 kcal, Protein: 1.2 g, Carbohydrates: 8 g, Fat: 0.3 g, Fiber: 2.5 g, Vitamin C: 18 mg, Beneficial bacteria (Lactobacillus): present",Room Temp,180,"Store in a cool, dry place away from direct sunlight and ensure the container is tightly sealed; for fermented vegetables, monitor for signs of spoilage and consume within 180 days for optimal quality.",,,,,,P1010388.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/c5o-PUHjjEuZU-j3UyEJhA/WHqqEgTI4cbf1rggYzSPhhsDQgmRWkHyftIP3ph9XC5I3fW2GtnBFdyjV7zuqOlDrhGeWxPK9BgGweLSNZvovzgiSyFjgsTvZMq-WzUjkEVOJudo_M7wtmwduwA5iIch_oo4y6qgX0vQSw74n8snmkfgtS2lR-Q4AOPbIU4Ar8s/14yYPxN7Ku55omnFrDGdtWB24_JmzCRlPtq6D3EcQfY),0,
Jams,Jams & Fruit Products,"Seasonal fruits,Brown cane sugar","Handcrafted jams made with ripe seasonal fruits and brown cane sugar for a naturally sweet, vibrant spread perfect for breakfast or desserts.","Proteins 1%  
Lipids 0%  
Carbs 99%",1,0,99,"Energy: 260 kcal, Protein: 0.5 g, Carbohydrates: 65 g, Fat: 0.2 g, Fiber: 1.5 g, Vitamin C: 8 mg",Room Temp,180,"Store in a cool, dry place away from direct sunlight and tightly seal after each use to preserve quality for up to 180 days. Ensure containers are clean and dry before resealing to prevent moisture and spoilage.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/pWXqPcQAzaL1HoAN4h56fg/FzhpeZGhSKH8SsGeNSuXhJegf3jRkY8qLuh3j91aKy59l-rozvSwmjRvQ4CoVT8esYc7oZ17XhSmk1MOvIQr6jOzS2IMa0EsBNELnv81MTLEi6875uLCeqoM5qif9_Xgebd2N1UsJqhtjWlhxmnsfA/snwyliLjlJdJI54_R-R0Li-7Sj_zf-3yohjvIN1k1hs),0,
Ginger Beer,Fermented Beverages,"Ginger,Sugar,Water,Lemon","Zesty ginger beer crafted with real ginger, lemon, and pure cane sugar for a refreshing, naturally bold taste—perfect for sipping or mixing.","Proteins 0%  
Lipids 0%  
Carbs 100%",0,0,100,"Energy: 180 kcal, Protein: 0.2 g, Carbohydrates: 44 g, Fat: 0 g, Fiber: 0.2 g, Vitamin C: 8 mg",Refrigerated,30,Store refrigerated at or below 4°C and keep the container tightly sealed; consume within 30 days to maintain optimal flavor and prevent spoilage of this fermented beverage.,,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/6JzLGTlCZr-jJUjdtl1cTA/vRfdh1oZE7l1p2HGIaXfGuZqq3nbuMM2HiM0MMtUqQeIRSLegf4Y16UmjYqEMuznowk4U48ib9UvfGhIQzmlo9xXJ7b1olEA-Kgm9AFeJJOexEv9C0X7KyUCIcsWZQrN4Yn2mgiO9Uqcia4c65-VTg/2L1vOmvUG6rkUcLUtWhDJsc-DyCYTZzwonRYMX0lCxo),0,
Water Kefir,Fermented Beverages,"Kefir SCOBY,Water,Sugar,Lemon,Figs,Seasonal fruits and herbs","Naturally fermented water kefir with lemon, figs, and seasonal fruits—refreshingly tangy, probiotic-rich, and crafted for a deliciously healthy boost.","Proteins 1%  
Lipids 0%  
Carbs 99%",1,0,99,"Energy: 30 kcal, Protein: 0.2 g, Carbohydrates: 7 g, Fat: 0 g, Fiber: 0.2 g, Vitamin C: 4 mg",Room Temp,7,"Store in a cool, dry place away from direct sunlight and consume within 7 days; keep the container sealed to maintain carbonation and prevent contamination in this naturally fermented beverage.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/1x1pgQk0Gy1nh5n_sFCaPQ/SREvD-P05NcBI6w97OI6sXUbU3ohuZT9YmfUh_MWqq_mmw9pqQ4a2lcOXVZQMwbdLhqNVDzG8t5bSU_wp10x4ghylMzZBhAuuZy3N28vaGNnEzfV8tMOjNvAkuey_YJ-lKHUUk71JGDadHWyDMiOpg/tjPCl_zJOQHjsgRrrScFoOjAlQBgh2vuZmx4tBJfXew),0,
Kombucha,Fermented Beverages,"Black Tea,Water,Sugar,Seasonal fruits","Refreshing kombucha brewed with black tea, sugar, and seasonal fruits—naturally fermented for a tangy, probiotic-rich drink that supports gut health.","Proteins 0%  
Lipids 0%  
Carbs 100%",0,0,100,"Energy: 18 kcal, Protein: 0 g, Carbohydrates: 4.5 g, Fat: 0 g, Fiber: 0 g, Vitamin C: 2 mg",Room Temp,90,"Store in a cool, dry place away from direct sunlight and tightly seal after each use; for fermented beverages, ensure containers are airtight to prevent contamination and maintain quality throughout the 90-day shelf life.",,,,,,P1010326.JPG (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/i0NViFF642vLH5LshqYfdw/4SX5gfJG47MYiBv44kEyrVMMQ-IXL5HT14274bxtflHBfU82RZ-aL3fA4nccWBx-kFxZfdtquR9uMPisVJdcNoepTBgxT4T1ukuCTZGt3gQ6vzRCIttx8MhdDsmDCqUOgHf-L_KGw6gT4wTz2RCjTT8PTxozH17vwxyKKBoGG4k/yDVl1z0pDYPuRw7J1uwDXpq6zQj2EpRLfDE1H8Kuntg),0,
Pomegranate Concentrate,Jams & Fruit Products,"Pomegranate,Brown cane sugar","Rich, tangy pomegranate concentrate sweetened with brown cane sugar—ideal for refreshing drinks, desserts, or adding a burst of natural flavor to recipes.","Proteins 1%  
Lipids 0%  
Carbs 99%",1,0,99,"Energy: 260 kcal, Protein: 1 g, Carbohydrates: 65 g, Fat: 0 g, Fiber: 1 g, Potassium: 250 mg",Room Temp,365,"Store in a cool, dry place away from direct sunlight and tightly seal after each use to maintain quality throughout the 12-month shelf life.",,,,,,image.png (https://v5.airtableusercontent.com/v3/u/53/53/1780365600000/o9i2hfzpuocop1QlcrHmWA/qu90cunAbUtjGDK_MVj29QsPuz8e2S_PoHgXgY5kAqC0CGXoe5woiFvR4ZXGYrfMG-kgdgaWz0zdOxWfVX1okbWhTry2xwYNyysWPtc2vtCVWq1JKYWvfLkdCqYUH2pEF-jLWjazNNucLwMIQ8_nlQ/k9OLaDQchafZB3RLGlknhed1nkqMM4g_JJj_3yqFbfM),0,
,,,,,,,,,,,,,,,,,,NaN,